table_name,column_name
AF_GrossPotentialRent,OfficeLoss
AF_GrossPotentialRent,DelinquencyLoss
AF_GrossPotentialRent,NetRentIncome
AF_GrossPotentialRent,OccupancyId
AF_GrossPotentialRent,UnitId
AF_GrossPotentialRent,Period
AF_GrossPotentialRent,MarketRent
AF_GrossPotentialRent,RentCharges
AF_GrossPotentialRent,appfolio_collection
AF_GrossPotentialRent,last_synced
AF_GrossPotentialRent,created_at
AF_GrossPotentialRent,TenantName
AF_GrossPotentialRent,UnitName
AF_GuestCards,id
AF_GuestCards,Name
AF_GuestCards,EmailAddress
AF_GuestCards,PhoneNumber
AF_GuestCards,Received
AF_GuestCards,LastActivityDate
AF_GuestCards,LastActivityType
AF_GuestCards,Status
AF_GuestCards,MoveInPreference
AF_GuestCards,MaxRent
AF_GuestCards,BedBathPreference
AF_GuestCards,PetPreference
AF_GuestCards,MonthlyIncome
AF_GuestCards,CreditScore
AF_GuestCards,LeadType
AF_GuestCards,Source
AF_GuestCards,Property
AF_GuestCards,Unit
AF_GuestCards,AssignedUser
AF_GuestCards,AssignedUserID
AF_GuestCards,GuestCardId
AF_GuestCards,GuestCardUuid
AF_GuestCards,PropertyId
AF_GuestCards,UnitId
AF_GuestCards,Notes
AF_GuestCards,PropertyName
AF_GuestCards,TenantId
AF_GuestCards,InquiryID
AF_GuestCards,appfolio_collection
AF_GuestCards,last_synced
AF_GuestCards,created_at
AF_GuestCards,UnitName
AF_GuestCards,TenantName
AF_Investments_export,Asset ID + Name
AF_Investments_export,Asset ID
AF_Investments_export,Unit Total
AF_Investments_export,Units
AF_Investments_export,Comm Units
AF_Investments_export,Beds
AF_Investments_export,Baths
AF_Investments_export,Half Baths
AF_Investments_export,Rooms
AF_Investments_export,Portfolio Name
AF_Investments_export,Name - Reducd
AF_Investments_export,Name - CHFA
AF_Investments_export,Address
AF_Investments_export,City
AF_Investments_export,State
AF_Investments_export,ZIP Code
AF_Investments_export,Owner LLC
AF_Investments_export,Address - Full
AF_Investments_export,Walkscore
AF_Investments_export,Deal Type
AF_Investments_export,Property Type
AF_Investments_export,Scope of Work - Orig
AF_Investments_export,New Const?
AF_Investments_export,Sect 8 Units?
AF_Investments_export,PBV
AF_Investments_export,Leasing Status - Initial
AF_Investments_export,Manager
AF_Investments_export,Owner LLC co
AF_Investments_export,CC - Dan
AF_Investments_export,CC - Dean
AF_Investments_export,EIN
AF_Investments_export,Parcel ID
AF_Investments_export,Census Tract
AF_Investments_export,Poverty - % Below
AF_Investments_export,Qualified Census Tract
AF_Investments_export,Owner Address
AF_Investments_export,Mgmt Email
AF_Investments_export,Mgmt Phone
AF_Investments_export,LMI
AF_Investments_export,AMI - 100%
AF_Investments_export,AMI - 80% Rent Limit
AF_Investments_export,AMI - 60% Rent Limit
AF_Investments_export,Rent - 66% less than 60%
AF_Investments_export,LMI Verif Method
AF_Investments_export,Proforma Revenue
AF_Investments_export,Proforma Operating Expenses
AF_Investments_export,Exp - Tax - Prop
AF_Investments_export,Exp - Prop Ins.
AF_Investments_export,Exp - Utilities
AF_Investments_export,Exp - R&M
AF_Investments_export,Exp - Payroll
AF_Investments_export,Exp - Garbage
AF_Investments_export,Exp - PM Fee + Admin
AF_Investments_export,NOI
AF_Investments_export,EGI
AF_Investments_export,EE Expense reduction
AF_Investments_export,Purchase Price
AF_Investments_export,Down Payment
AF_Investments_export,Appraisal Firm
AF_Investments_export,APPRAISED VALUE
AF_Investments_export,Date Of Last Appraisal
AF_Investments_export,Exp Adj Taxe Filing
AF_Investments_export,2023 Rep - CapEx - /unit/mnth
AF_Investments_export,2023 Rep - Elect/unit/mnth
AF_Investments_export,2023 Rep - Mgmt Fee
AF_Investments_export,2023 Rep - PropInsur/unit/mnth
AF_Investments_export,2023 Rep - Supplies/unit/mnth
AF_Investments_export,2023 Rep - mnths owned
AF_Investments_export,Fixed/Variable
AF_Investments_export,Assessed Value
AF_Investments_export,Assessment Date
AF_Investments_export,Occ At Assessment
AF_Investments_export,30% of Assessed
AF_Investments_export,City Conditions Survey
AF_Investments_export,Going-in NOI
AF_Investments_export,Going-In Cap Rate
AF_Investments_export,Value
AF_Investments_export,Closiing Date - Deed
AF_Investments_export,Closing Date
AF_Investments_export,For Sale
AF_Investments_export,CAO Due Dates
AF_Investments_export,Borrower Cap Rate
AF_Investments_export,Debt1 - Term
AF_Investments_export,P&I Per Build Monthly
AF_Investments_export,At Sale - Furniture
AF_Investments_export,At Sale - Equip
AF_Investments_export,EE Cap Rate
AF_Investments_export,EE Value
AF_Investments_export,EE Appraisal Inc
AF_Investments_export,Mortgage Holder
AF_Investments_export,HUD Building
AF_Investments_export,Fannie
AF_Investments_export,Debt1 - Initial
AF_Investments_export,Debt1 - Int Rate
AF_Investments_export,Maturity Date
AF_Investments_export,LTV Ratio
AF_Investments_export,DSV Ratio
AF_Investments_export,Debt Service
AF_Investments_export,Ownership %
AF_Investments_export,Reno Costs
AF_Investments_export,TDC
AF_Investments_export,Utility
AF_Investments_export,Insurance Carrier
AF_Investments_export,Trash Collection
AF_Investments_export,Reno Complete
AF_Investments_export,Built
AF_Investments_export,Renovated - Last
AF_Investments_export,Building SF
AF_Investments_export,Building SF - Finished
AF_Investments_export,Unit SF - Avg
AF_Investments_export,Land SF
AF_Investments_export,Roof Type
AF_Investments_export,Roof Cover
AF_Investments_export,Stories
AF_Investments_export,Roof SF
AF_Investments_export,Water Meter
AF_Investments_export,Primary Interior Walls
AF_Investments_export,Heat Fuel
AF_Investments_export,Heat Type
AF_Investments_export,Heat Type - Maint
AF_Investments_export,Heating System
AF_Investments_export,Cooking Fuel
AF_Investments_export,Heat Exp per Unit
AF_Investments_export,Heat Sys Count
AF_Investments_export,DWH Sys Source
AF_Investments_export,DWH Central/Indiv
AF_Investments_export,Apt Vent - Bath
AF_Investments_export,Apt Vent - Kitchen
AF_Investments_export,Apt Vent - Laundry
AF_Investments_export,AC Type - Marketing
AF_Investments_export,AC Type - Maint
AF_Investments_export,AC Included
AF_Investments_export,BR - 0
AF_Investments_export,BR - 1
AF_Investments_export,BR - 2
AF_Investments_export,BR - 3
AF_Investments_export,BR - 4
AF_Investments_export,Common Area
AF_Investments_export,Additional Storage
AF_Investments_export,BBQ Area
AF_Investments_export,Washer_Owner
AF_Investments_export,Fridge_Owner
AF_Investments_export,WasherDryer - Hookup Only
AF_Investments_export,WasherDryer
AF_Investments_export,Balcony
AF_Investments_export,Parking Spots Count
AF_Investments_export,Parking - Off Street
AF_Investments_export,MDC - Contract
AF_Investments_export,Access Control IP
AF_Investments_export,WiFi - Low Data
AF_Investments_export,WiFi - Ops
AF_Investments_export,WiFi - Tenant Access
AF_Investments_export,Electric - Utility Company
AF_Investments_export,Elect Account
AF_Investments_export,Elect Meter - Common
AF_Investments_export,Gas - Utility Company
AF_Investments_export,Gas Account
AF_Investments_export,id
AF_Investments_export,id
AF_Investments_export,PropertyId
AF_Investments_export,PortfolioId
AF_LeaseExpirationDetailByMonth,id
AF_LeaseExpirationDetailByMonth,Property
AF_LeaseExpirationDetailByMonth,PropertyName
AF_LeaseExpirationDetailByMonth,PropertyId
AF_LeaseExpirationDetailByMonth,PropertyAddress
AF_LeaseExpirationDetailByMonth,PropertyStreet1
AF_LeaseExpirationDetailByMonth,PropertyStreet2
AF_LeaseExpirationDetailByMonth,PropertyCity
AF_LeaseExpirationDetailByMonth,PropertyState
AF_LeaseExpirationDetailByMonth,PropertyZip
AF_LeaseExpirationDetailByMonth,Unit
AF_LeaseExpirationDetailByMonth,UnitTags
AF_LeaseExpirationDetailByMonth,UnitType
AF_LeaseExpirationDetailByMonth,MoveIn
AF_LeaseExpirationDetailByMonth,LeaseExpires
AF_LeaseExpirationDetailByMonth,LeaseExpiresMonth
AF_LeaseExpirationDetailByMonth,MarketRent
AF_LeaseExpirationDetailByMonth,Sqft
AF_LeaseExpirationDetailByMonth,TenantName
AF_LeaseExpirationDetailByMonth,Deposit
AF_LeaseExpirationDetailByMonth,Rent
AF_LeaseExpirationDetailByMonth,PhoneNumbers
AF_LeaseExpirationDetailByMonth,UnitId
AF_LeaseExpirationDetailByMonth,OccupancyId
AF_LeaseExpirationDetailByMonth,TenantId
AF_LeaseExpirationDetailByMonth,OwnerAgent
AF_LeaseExpirationDetailByMonth,TenantAgent
AF_LeaseExpirationDetailByMonth,RentStatus
AF_LeaseExpirationDetailByMonth,LegalRent
AF_LeaseExpirationDetailByMonth,OwnersPhoneNumber
AF_LeaseExpirationDetailByMonth,Owners
AF_LeaseExpirationDetailByMonth,LastRentIncrease
AF_LeaseExpirationDetailByMonth,NextRentAdjustment
AF_LeaseExpirationDetailByMonth,NextRentIncrease
AF_LeaseExpirationDetailByMonth,LeaseSignDate
AF_LeaseExpirationDetailByMonth,LastLeaseRenewal
AF_LeaseExpirationDetailByMonth,Status
AF_LeaseExpirationDetailByMonth,RenewalStartDate
AF_LeaseExpirationDetailByMonth,NoticeGivenDate
AF_LeaseExpirationDetailByMonth,MoveOut
AF_LeaseExpirationDetailByMonth,TenantTags
AF_LeaseExpirationDetailByMonth,AffordableProgram
AF_LeaseExpirationDetailByMonth,ComputedMarketRent
AF_LeaseExpirationDetailByMonth,appfolio_collection
AF_LeaseExpirationDetailByMonth,last_synced
AF_LeaseExpirationDetailByMonth,UnitName
AF_Leases,LeaseUuid
AF_Leases,TenantName
AF_Leases,PropertyName
AF_Leases,LeaseStart
AF_Leases,LeaseEnd
AF_Leases,CountersignedBy
AF_Leases,CountersignedById
AF_Leases,InquiryID
AF_Leases,LeaseDocumentUuid
AF_Leases,CountersignedDate
AF_Leases,id
AF_Leases,Property
AF_Leases,PropertyId
AF_Leases,PropertyAddress
AF_Leases,PropertyStreet1
AF_Leases,PropertyStreet2
AF_Leases,PropertyCity
AF_Leases,PropertyState
AF_Leases,PropertyZip
AF_Leases,Unit
AF_Leases,UnitId
AF_Leases,UnitName
AF_Leases,LeaseId
AF_Leases,LeaseNumber
AF_Leases,LeaseType
AF_Leases,Tenant
AF_Leases,TenantId
AF_Leases,PrimaryTenant
AF_Leases,OccupancyId
AF_Leases,LeaseFrom
AF_Leases,LeaseTo
AF_Leases,LeaseStartDate
AF_Leases,LeaseEndDate
AF_Leases,MoveInDate
AF_Leases,MoveOutDate
AF_Leases,NoticeTo
AF_Leases,NoticeDate
AF_Leases,SignedDate
AF_Leases,ExecutedDate
AF_Leases,Status
AF_Leases,LeaseStatus
AF_Leases,TenantStatus
AF_Leases,CommercialLeaseType
AF_Leases,Rent
AF_Leases,MonthlyRent
AF_Leases,BaseRent
AF_Leases,SecurityDeposit
AF_Leases,Deposit
AF_Leases,PetDeposit
AF_Leases,PetFee
AF_Leases,ApplicationFee
AF_Leases,RentIncreaseAmount
AF_Leases,RentIncreaseDate
AF_Leases,RentIncreasePercent
AF_Leases,NextRentIncrease
AF_Leases,LeaseTerm
AF_Leases,LeaseTermType
AF_Leases,RenewalOption
AF_Leases,AutoRenewal
AF_Leases,LateFeeAmount
AF_Leases,LateFeeDays
AF_Leases,LateFeeType
AF_Leases,NSFFee
AF_Leases,UtilitiesIncluded
AF_Leases,ParkingIncluded
AF_Leases,ParkingFee
AF_Leases,StorageIncluded
AF_Leases,StorageFee
AF_Leases,LeaseSource
AF_Leases,MarketingSource
AF_Leases,SpecialTerms
AF_Leases,Notes
AF_Leases,LeaseNotes
AF_Leases,Addendums
AF_Leases,PetsAllowed
AF_Leases,PetType
AF_Leases,PetBreed
AF_Leases,PetWeight
AF_Leases,NumberOfPets
AF_Leases,MaxOccupants
AF_Leases,NumberOfOccupants
AF_Leases,RentersInsuranceRequired
AF_Leases,InsuranceAmount
AF_Leases,PortfolioId
AF_Leases,PropertyGroupId
AF_Leases,appfolio_collection
AF_Leases,last_synced
AF_Leases,CreatedAt
AF_Leases,PropertyStreet
AF_Leases,UnitType
AF_Leases,TenantVisibility
AF_Leases,OccupancyName
AF_Leases,MostRecentRent
AF_Leases,SentDate
AF_Leases,SignedOnDate
AF_Leases,Renewal
AF_Leases,MoveIn
AF_Leases,MoveOut
AF_Leases,TimeFromSendingToSigning
AF_Leases,TimeFromSendingToCountersigning
AF_Leases,UpdatedAt
AF_OwnerDirectory,id
AF_OwnerDirectory,Name
AF_OwnerDirectory,PhoneNumbers
AF_OwnerDirectory,Email
AF_OwnerDirectory,AlternativePayee
AF_OwnerDirectory,PaymentType
AF_OwnerDirectory,LastPaymentDate
AF_OwnerDirectory,HoldPayments
AF_OwnerDirectory,OwnerPacketReports
AF_OwnerDirectory,SendOwnerPacketsByEmail
